Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020
Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,4,4,7,8,11,12,14,14,14,22,22,22,22,25,27,35,37,40,41,43,43,44,46,50,53,56,62,63,69,72,80,86,87,102,105,116,119,128,136,145,162,164,170,182,197,207,213,221,244,252
Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,8,9,9,11,14,16,16,16,22,34,45,51,52,66,76,81,97,100,109,125,147,156,179,183,198,214,243,256,269,276,291,305,314,330,352,360,382,386,415,456,486,514,556,586,625,642,717,765,815,852,893,927,977,1030,1076,1083,1134
Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,6,7,7,7,9,11,14,14,16,16,18,21,23,25,26,27,29,29,32,35,36,38,40,45,47,50,55,57,61,61,65,69,76,78,79,81,85,88,91,94,104,110,112,123,125,130,136,150,158,165,177,177,189,205,220,230,248,270
Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,6,6,11,12,12,21,22,22,29,29,33,38,43,47,51,56,65,75,86,115,135,143,159,163,216,223,239,245,269,276,280,315,322,360,393,426,461,511,540,593,643,688,701,778,820,878,900,912,944,970,989,1022,1062,1072,1109
San Luis Potosí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,7,7,9,12,16,16,17,18,19,20,24,25,25,31,33,35,35,37,37,41,43,47,48,51,53,55,55,56,56,58,59,63,66,67,68,73,73,76,79,84,85,98,108,120,129,145,155,165,185,203,227,237,265,279
Sinaloa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,8,9,14,19,24,27,32,42,51,74,90,97,111,125,138,171,214,229,245,261,292,327,374,413,459,486,510,570,616,692,711,750,798,806,824,869,1012,1081,1125,1168,1202,1257,1319,1380,1401,1479,1526
Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,4,7,8,10,14,17,17,18,21,22,27,28,30,35,46,48,55,65,69,72,73,78,89,97,108,117,117,114,122,127,138,135,144,159,163,173,186,214,223,239,252,271,304,350,378,440,466,505
Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,6,6,17,21,27,33,38,48,52,62,73,83,97,107,108,112,113,134,143,153,156,195,210,233,250,278,335,397,467,504,592,644,700,721,812,885,935,977,1060,1070,1185,1235,1264,1305,1391,1516,1584,1638,1741
Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,5,5,6,6,6,6,7,8,8,9,13,16,20,26,31,32,43,46,48,49,53,53,55,60,78,91,117,127,134,145,166,191,205,217,262,288,296,309,316,340,364,381,389,397,416,440,441,710,738,757
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,5,5,8,9,11,14,18,23,29,34,38,40,49,51,58,62,67,72,76,78,84,99,107,118,133,140,145,168,185,199,224,235,246,257,269,287,313,331,364,368,397
Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,7,7,7,7,7,17,23,24,26,27,28,29,35,37,40,41,46,49,54,63,73,78,82,94,106,112,121,124,146,156,165,195,230,268,299,334,402,438,486,546,586,641,673,772,806,839,926,1013,1114,1158,1306
Yucatán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,13,13,14,19,19,24,29,32,36,38,41,46,49,52,53,59,62,67,72,74,74,88,88,103,107,114,116,128,131,140,172,176,191,194,199,234,244,299,321,350,375,401,445,485,530,584,604,645,684,721,747,784,823,842
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,5,6,6,6,7,7,10,10,9,10,11,11,14,14,15,16,17,18,18,23,27,27,31,32,43,47,50,57,64,64,66,67,74,83,91,96,106,109,115,124,131,136,145,151
